ip,start,end,seconds,requests,pages,assets,distinct_pages,entry,ref,ua,path_list
81.96.235.31,2026-08-21T08:13:23,2026-08-21T08:17:12,228,9,8,1,7,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/|/astro|/favicon.ico|/astro/astrocam|/astro/astrocam/night/2026-08-11|/astro/astrocam/night/2026-08-11/player|/astro/astrocam/night/2026-08-12|/astro/astrocam/night/2026-08-12/player
81.96.235.31,2026-08-21T20:51:05,2026-08-21T20:51:09,4,2,1,1,1,/astro/astrocam/night/2026-08-12,https://www.petergrecian.co.uk/astro/astrocam/night/2026-08-12,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/favicon.ico|/astro/astrocam/night/2026-08-12
81.96.235.31,2026-08-23T11:41:34,2026-08-23T11:41:42,8,4,3,1,3,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/astrocam
81.96.235.31,2026-08-23T12:22:05,2026-08-23T12:37:26,921,3,3,0,2,/astro/astrocam/night/2026-08-22,https://www.petergrecian.co.uk/astro/astrocam,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/astrocam/night/2026-08-22|/astro/astrocam
81.96.235.31,2026-08-24T12:17:49,2026-08-24T12:17:56,6,2,2,0,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/pi-fleet
81.96.235.31,2026-08-24T21:28:53,2026-08-24T21:56:35,1662,6,5,1,4,/astro/astrocam,https://www.petergrecian.co.uk/astro,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/astrocam|/favicon.ico|/astro/eclipticam|/|/astro
81.96.235.31,2026-08-24T22:47:41,2026-08-24T22:55:26,464,2,2,0,2,/astro/astrocam,https://www.petergrecian.co.uk/astro,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/astrocam|/astro/eclipticam
81.96.235.31,2026-08-25T09:41:08,2026-08-25T09:43:08,119,7,7,0,5,/astro/eclipticam/month/2026-07,https://www.petergrecian.co.uk/astro/eclipticam/nights,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/eclipticam/month/2026-07|/astro/eclipticam/night/2026-07-31|/astro/eclipticam|/astro/astrocam|/astro/eclipticam/night/2026-08-24
81.96.235.31,2026-08-26T13:18:40,2026-08-26T13:18:58,18,5,4,1,4,/astro/colour-max-test,http://100.115.92.26:7699/,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/colour-max-test|/favicon.ico|/|/astro|/astro/astrocam
81.96.235.31,2026-08-26T14:29:19,2026-08-26T14:32:15,175,11,11,0,8,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/astro/eclipticam|/astro/eclipticam/night/2026-08-25|/astro/astrocam|/astro/astrocam/nights|/astro/astrocam/week/2026-06-24|/astro/astrocam/month/2026-08
81.96.235.31,2026-08-27T06:16:29,2026-08-27T06:16:52,23,6,5,1,5,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/eclipticam|/astro/astrocam|/astro/astrocam/night/2026-08-26
81.96.235.31,2026-08-27T07:07:17,2026-08-27T07:18:30,672,7,7,0,4,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/|/astro|/astro/eclipticam|/astro/astrocam
81.96.235.31,2026-08-27T08:48:34,2026-08-27T08:48:39,4,3,3,0,3,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/astro/eclipticam
81.96.235.31,2026-08-28T04:12:16,2026-08-28T04:32:53,1236,20,19,1,11,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/pi-fleet|/astro|/favicon.ico|/astro/eclipticam|/astro/canon|/astro/canon/nights|/astro/canon/month/2026-08|/astro/astrocam|/astro/astrocam/night/2026-08-26|/astro/astrocam/night/2026-08-22|/astro/astrocam/night/2026-08-24
81.96.235.31,2026-08-28T05:41:50,2026-08-28T05:46:07,257,14,14,0,5,/pi-fleet,https://www.petergrecian.co.uk/pi-fleet,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/pi-fleet|/contents|/astro|/astro/astrocam|/astro/astrocam/night/2026-08-27
81.96.235.31,2026-08-28T08:07:35,2026-08-28T08:07:44,8,3,2,1,2,/astro/astrocam,https://www.petergrecian.co.uk/astro,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/astrocam|/favicon.ico|/astro/eclipticam
81.96.235.31,2026-08-29T09:43:07,2026-08-29T09:43:32,25,4,3,1,3,/astro/eclipticam/week/2026-08-06,https://www.petergrecian.co.uk/astro/eclipticam/nights,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/eclipticam/week/2026-08-06|/favicon.ico|/astro/eclipticam/night/2026-08-12|/astro/eclipticam/night/2026-08-12/player
2a00:23ee:10a8:2610:c4ef:28d7:2153:af2c,2026-08-29T15:46:52,2026-08-29T15:48:47,115,5,4,1,3,/,https://www.google.com/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36",/|/astro|/favicon.ico|/astro/transients
31.94.26.244,2026-08-29T15:49:42,2026-08-29T16:09:18,1175,7,7,0,4,/us-vs-the-machines,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Linux; arm_64; Android 15; FP4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.7871.119 YaBrowser/26.8.1.119.00 Mobile Safari/537.36",/us-vs-the-machines|/|/pi-fleet|/t3
2a00:23cc:bc2d:6f01:23e:964f:66c3:298d,2026-08-29T16:09:28,2026-08-29T16:10:10,42,5,5,0,4,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/astro/astrocam|/astro/astrocam/night/2026-08-28
2a00:23cc:bc2d:6f01:25e1:4217:a030:62f9,2026-08-29T16:10:23,2026-08-29T16:10:52,28,2,2,0,2,/astro/astrocam/night/2026-08-28,https://www.petergrecian.co.uk/astro/astrocam,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/astrocam/night/2026-08-28|/astro/astrocam/night/2026-08-15
81.96.235.31,2026-08-29T19:51:50,2026-08-29T19:52:21,31,7,6,1,6,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/eclipticam|/astro/eclipticam/night/2026-08-28|/astro/astrocam|/astro/astrocam/night/2026-08-28
81.96.235.31,2026-08-29T21:03:48,2026-08-29T21:56:29,3161,15,15,0,10,/us-vs-the-machines,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/us-vs-the-machines|/|/astro|/astro/eclipticam|/astro/eclipticam/night/2026-08-26|/astro/eclipticam/night/2026-08-26/player|/astro/eclipticam/night/2026-08-25|/astro/eclipticam/night/2026-08-25/player|/astro/transients|/astro/transients/satellite
81.96.235.31,2026-08-30T07:41:36,2026-08-30T07:43:38,122,9,8,1,8,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/transients|/astro/eclipticam/night/2026-08-24|/astro/eclipticam/night/2026-08-29|/astro/astrocam|/astro/astrocam/night/2026-08-29|/astro/astrocam/night/2026-08-28
81.96.235.31,2026-08-31T08:28:59,2026-08-31T09:46:06,4627,119,118,1,6,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/|/astro|/favicon.ico|/astro/eclipticam|/astro/eclipticam/night/2026-08-30|/astro/astrocam|/pi-fleet
81.96.235.31,2026-09-01T20:40:58,2026-09-01T20:45:25,266,11,11,0,6,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/contents|/astro|/astro/astrocam|/astro/astrocam/night/2026-08-31|/astro/eclipticam|/astro/eclipticam/night/2026-08-31
81.96.235.31,2026-09-02T19:35:53,2026-09-02T20:02:04,1570,52,51,1,1,/pi-fleet,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/pi-fleet|/favicon.ico
81.96.235.31,2026-09-03T12:39:12,2026-09-03T14:12:02,5570,183,183,0,2,/pi-fleet,https://www.petergrecian.co.uk/pi-fleet,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/pi-fleet|/contents
81.96.235.31,2026-09-03T15:16:38,2026-09-03T15:17:20,42,4,4,0,4,/astro,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro|/astro/eclipticam|/astro/eclipticam/night/2026-09-02|/astro/astrocam
81.96.235.31,2026-09-04T08:57:16,2026-09-04T08:57:18,2,2,1,1,1,/astro/astrocam,https://www.petergrecian.co.uk/astro,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/astrocam|/favicon.ico
81.96.235.31,2026-09-04T19:17:46,2026-09-04T19:18:00,13,2,2,0,2,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/|/stereo
81.96.235.31,2026-09-05T07:21:24,2026-09-05T07:21:32,8,2,2,0,2,/astro/eclipticam,https://www.petergrecian.co.uk/astro,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/astro/eclipticam|/astro/eclipticam/night/2026-09-04
85.203.46.24,2026-09-05T19:39:53,2026-09-05T19:41:59,125,53,46,7,16,/,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",/|/gotg|/site-test|/memspeed|/springcam|/favicon.svg|/pi-fleet|/ai-config|/rcr|/srfcplus|/t3|/manim|/lambda-stats|/astro|/skycam|/us-vs-the-machines|/stereo|/springcam/fullres
